2025-12-03 22:55:04.171 [info] Extension host with pid 97723 started
2025-12-03 22:55:04.172 [info] Skipping acquiring lock for /root/Documentos/github/GestionSocios/User/workspaceStorage/91570e3aac97b09b000b86470d1f8e4a.
2025-12-03 22:55:05.077 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2025-12-03 22:55:05.214 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-12-03 22:55:05.253 [info] ExtensionService#_doActivateExtension GitHub.copilot-chat, startup: false, activationEvent: 'onChatParticipant:github.copilot.editsAgent'
2025-12-03 22:55:07.555 [info] ExtensionService#_doActivateExtension vscode.php-language-features, startup: false, activationEvent: 'onLanguage:php'
2025-12-03 22:55:07.887 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2025-12-03 22:55:07.967 [info] ExtensionService#_doActivateExtension vscode.terminal-suggest, startup: false, activationEvent: 'onTerminalShellIntegration:*'
2025-12-03 22:55:08.440 [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
2025-12-03 22:55:08.636 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2025-12-03 22:55:08.868 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2025-12-03 22:55:09.472 [info] Eager extensions activated
2025-12-03 22:55:09.655 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-12-03 22:55:09.664 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-12-03 22:55:10.883 [error] Error: chatParticipant must be declared in package.json: claude-code
    at QKt.$registerAgent (vscode-file://vscode-app/usr/share/code/resources/app/out/vs/workbench/workbench.desktop.main.js:511:6057)
2025-12-03 22:55:12.291 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:markdown'
2025-12-03 22:55:12.328 [info] ExtensionService#_doActivateExtension vscode.markdown-language-features, startup: false, activationEvent: 'onLanguage:markdown'
2025-12-03 22:55:13.675 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 22:55:14.948 [warning] [Decorations] CAPPING events from decorations provider vscode.git 299
2025-12-03 22:55:18.072 [warning] [Decorations] CAPPING events from decorations provider vscode.git 298
2025-12-03 22:55:23.185 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 22:55:28.278 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 22:55:33.395 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 22:55:38.460 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 22:55:43.659 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 22:55:48.860 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 22:55:53.912 [warning] [Decorations] CAPPING events from decorations provider vscode.git 297
2025-12-03 22:55:59.881 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-12-03 22:55:59.924 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2025-12-03 22:56:00.205 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onLanguage:json'
